response.keys,response.corr,mouseResp.x,mouseResp.y,mouseResp.leftButton,mouseResp.midButton,mouseResp.rightButton,mouseResp.clicked_name,practiceTrials.thisRepN,practiceTrials.thisTrialN,practiceTrials.thisN,practiceTrials.thisIndex,practiceTrials.ran,practiceTrials.order,isi,xPos,corrAns,participant,session,date,expName,psychopyVersion,frameRate,mainTrials.thisRepN,mainTrials.thisTrialN,mainTrials.thisN,mainTrials.thisIndex,mainTrials.ran,mainTrials.order
,0,-0.398148141,0.006481474,1,0,0,targImage,,,,,,,1.8888,-0.375,c,3434343434,001,2022-01-20_12h45.57.555,choiceRTT,3.1.3,60,1,0,40,16,1,39
,0,0.401851984,0.031481446,1,0,0,targImage,,,,,,,2.9998,0.375,n,3434343434,001,2022-01-20_12h45.57.555,choiceRTT,3.1.3,60,1,0,40,39,1,39
,0,0.078703718,0.038888882,1,0,0,targImage,,,,,,,2.7776,0.125,b,3434343434,001,2022-01-20_12h45.57.555,choiceRTT,3.1.3,60,1,0,40,34,1,39
,0,-0.139814804,0.03703703,1,0,0,targImage,,,,,,,1.2222,-0.125,v,3434343434,001,2022-01-20_12h45.57.555,choiceRTT,3.1.3,60,1,0,40,5,1,39
,0,0.32222224,-0.015740748,1,0,0,targImage,,,,,,,2.3332,0.375,n,3434343434,001,2022-01-20_12h45.57.555,choiceRTT,3.1.3,60,1,0,40,27,1,39
,0,-0.114814803,0.067592586,1,0,0,targImage,,,,,,,2.3332,-0.125,v,3434343434,001,2022-01-20_12h45.57.555,choiceRTT,3.1.3,60,1,0,40,25,1,39
,0,0.359259278,0.034259252,1,0,0,targImage,,,,,,,1.4444,0.375,n,3434343434,001,2022-01-20_12h45.57.555,choiceRTT,3.1.3,60,1,0,40,11,1,39
,0,-0.334259251,0.033333326,1,0,0,targImage,,,,,,,1.2222,-0.375,c,3434343434,001,2022-01-20_12h45.57.555,choiceRTT,3.1.3,60,1,0,40,4,1,39
,0,-0.419444437,0.003703696,1,0,0,targImage,,,,,,,2.111,-0.375,c,3434343434,001,2022-01-20_12h45.57.555,choiceRTT,3.1.3,60,1,0,40,20,1,39
,0,-0.056481469,0.024074067,1,0,0,targImage,,,,,,,2.9998,-0.125,v,3434343434,001,2022-01-20_12h45.57.555,choiceRTT,3.1.3,60,1,0,40,37,1,39
