response.keys,response.corr,mouseResp.x,mouseResp.y,mouseResp.leftButton,mouseResp.midButton,mouseResp.rightButton,mouseResp.clicked_name,practiceTrials.thisRepN,practiceTrials.thisTrialN,practiceTrials.thisN,practiceTrials.thisIndex,practiceTrials.ran,practiceTrials.order,isi,xPos,corrAns,participant,session,date,expName,psychopyVersion,frameRate,mainTrials.thisRepN,mainTrials.thisTrialN,mainTrials.thisN,mainTrials.thisIndex,mainTrials.ran,mainTrials.order
,0,0.410185213,0.013888889,1,0,0,targImage,,,,,,,2.9998,0.375,n,0708,001,2022-01-20_12h46.50.765,choiceRTT,3.1.3,60,1,0,40,39,1,39
,0,-0.39907406,0.051851838,1,0,0,targImage,,,,,,,2.5554,-0.375,c,0708,001,2022-01-20_12h46.50.765,choiceRTT,3.1.3,60,1,0,40,28,1,39
,0,-0.12962963,-0.047222243,1,0,0,targImage,,,,,,,2.3332,-0.125,v,0708,001,2022-01-20_12h46.50.765,choiceRTT,3.1.3,60,1,0,40,25,1,39
,0,-0.416666667,0.051851838,1,0,0,targImage,,,,,,,1.8888,-0.375,c,0708,001,2022-01-20_12h46.50.765,choiceRTT,3.1.3,60,1,0,40,16,1,39
,0,-0.351851852,0.041666667,1,0,0,targImage,,,,,,,2.9998,-0.375,c,0708,001,2022-01-20_12h46.50.765,choiceRTT,3.1.3,60,1,0,40,36,1,39
,0,-0.148148148,-0.048148155,1,0,0,targImage,,,,,,,1.6666,-0.125,v,0708,001,2022-01-20_12h46.50.765,choiceRTT,3.1.3,60,1,0,40,13,1,39
,0,0.406481566,-0.005555577,1,0,0,targImage,,,,,,,1.4444,0.375,n,0708,001,2022-01-20_12h46.50.765,choiceRTT,3.1.3,60,1,0,40,11,1,39
,0,-0.145370342,-0.036111125,1,0,0,targImage,,,,,,,2.9998,-0.125,v,0708,001,2022-01-20_12h46.50.765,choiceRTT,3.1.3,60,1,0,40,37,1,39
,0,-0.374074053,-0.01666666,1,0,0,targImage,,,,,,,1.6666,-0.375,c,0708,001,2022-01-20_12h46.50.765,choiceRTT,3.1.3,60,1,0,40,12,1,39
,0,-0.155555513,-0.052777785,1,0,0,targImage,,,,,,,1.8888,-0.125,v,0708,001,2022-01-20_12h46.50.765,choiceRTT,3.1.3,60,1,0,40,17,1,39
,0,0.174074102,-0.057407414,1,0,0,targImage,,,,,,,1.8888,0.125,b,0708,001,2022-01-20_12h46.50.765,choiceRTT,3.1.3,60,1,0,40,18,1,39
,0,-0.172222208,-0.058333326,1,0,0,targImage,,,,,,,1,-0.125,v,0708,001,2022-01-20_12h46.50.765,choiceRTT,3.1.3,60,1,0,40,1,1,39
,0,-0.324074074,-0.008333347,1,0,0,targImage,,,,,,,1.4444,-0.375,c,0708,001,2022-01-20_12h46.50.765,choiceRTT,3.1.3,60,1,0,40,8,1,39
,0,0.382407436,-0.027777778,1,0,0,targImage,,,,,,,2.111,0.375,n,0708,001,2022-01-20_12h46.50.765,choiceRTT,3.1.3,60,1,0,40,23,1,39
,0,-0.162962949,-0.073148162,1,0,0,targImage,,,,,,,1.4444,-0.125,v,0708,001,2022-01-20_12h46.50.765,choiceRTT,3.1.3,60,1,0,40,9,1,39
,0,0.424074102,-0.006481489,1,0,0,targImage,,,,,,,2.5554,0.375,n,0708,001,2022-01-20_12h46.50.765,choiceRTT,3.1.3,60,1,0,40,31,1,39
,0,0.363888917,-0.024074095,1,0,0,targImage,,,,,,,2.7776,0.375,n,0708,001,2022-01-20_12h46.50.765,choiceRTT,3.1.3,60,1,0,40,35,1,39
,0,-0.172222208,-0.063888903,1,0,0,targImage,,,,,,,1.2222,-0.125,v,0708,001,2022-01-20_12h46.50.765,choiceRTT,3.1.3,60,1,0,40,5,1,39
,0,0.294444473,-0.038888896,1,0,0,targImage,,,,,,,1.2222,0.375,n,0708,001,2022-01-20_12h46.50.765,choiceRTT,3.1.3,60,1,0,40,7,1,39
,0,0.319444444,-0.041666667,1,0,0,targImage,,,,,,,2.3332,0.375,n,0708,001,2022-01-20_12h46.50.765,choiceRTT,3.1.3,60,1,0,40,27,1,39
