fixDuration,resp.keys,resp.corr,resp.rt,pracLoop.thisRepN,pracLoop.thisTrialN,pracLoop.thisN,pracLoop.thisIndex,pracLoop.ran,cue,tar,corrAns,targOrientation,participant,session,date,expName,psychopyVersion,OS,frameRate,instResp.keys,instResp.rt,mainLoop.thisRepN,mainLoop.thisTrialN,mainLoop.thisN,mainLoop.thisIndex,mainLoop.ran
0.8,left,1,1.1267,0,0,0,18,1,stim/centre.png,stim/incongLeft.png,left,0,1,001,2022-02-26_13h05.56.398,ANT,2021.2.3,Win32,60.0132029,,,,,,,
0.95,right,1,0.5096,0,1,1,11,1,stim/blank.png,stim/congRight.png,right,0,1,001,2022-02-26_13h05.56.398,ANT,2021.2.3,Win32,60.0132029,,,,,,,
1.45,right,1,0.593,0,2,2,20,1,stim/lower.png,stim/incongLeft.png,right,180,1,001,2022-02-26_13h05.56.398,ANT,2021.2.3,Win32,60.0132029,,,,,,,
1.45,left,1,0.5243,0,3,3,17,1,stim/both.png,stim/incongLeft.png,left,0,1,001,2022-02-26_13h05.56.398,ANT,2021.2.3,Win32,60.0132029,,,,,,,
1.25,left,1,0.4449,0,4,4,2,1,stim/centre.png,stim/congLeft.png,left,0,1,001,2022-02-26_13h05.56.398,ANT,2021.2.3,Win32,60.0132029,,,,,,,
1.15,left,1,0.4243,0,5,5,12,1,stim/lower.png,stim/congRight.png,left,180,1,001,2022-02-26_13h05.56.398,ANT,2021.2.3,Win32,60.0132029,,,,,,,
0.6,right,0,0.4029,0,6,6,3,1,stim/blank.png,stim/congLeft.png,left,0,1,001,2022-02-26_13h05.56.398,ANT,2021.2.3,Win32,60.0132029,,,,,,,
0.8,right,1,0.429,0,7,7,4,1,stim/lower.png,stim/congLeft.png,right,180,1,001,2022-02-26_13h05.56.398,ANT,2021.2.3,Win32,60.0132029,,,,,,,
1,right,1,0.5849,0,8,8,7,1,stim/blank.png,stim/congLeft.png,right,180,1,001,2022-02-26_13h05.56.398,ANT,2021.2.3,Win32,60.0132029,,,,,,,
0.7,left,0,0.5848,0,9,9,22,1,stim/centre.png,stim/incongLeft.png,right,180,1,001,2022-02-26_13h05.56.398,ANT,2021.2.3,Win32,60.0132029,,,,,,,
0.7,left,1,0.5855,0,10,10,15,1,stim/blank.png,stim/congRight.png,left,180,1,001,2022-02-26_13h05.56.398,ANT,2021.2.3,Win32,60.0132029,,,,,,,
0.55,right,1,0.623,0,11,11,5,1,stim/both.png,stim/congLeft.png,right,180,1,001,2022-02-26_13h05.56.398,ANT,2021.2.3,Win32,60.0132029,,,,,,,
1.5,right,1,0.7394,0,12,12,6,1,stim/centre.png,stim/congLeft.png,right,180,1,001,2022-02-26_13h05.56.398,ANT,2021.2.3,Win32,60.0132029,,,,,,,
0.5,left,1,0.8373,0,13,13,0,1,stim/upper.png,stim/congLeft.png,left,0,1,001,2022-02-26_13h05.56.398,ANT,2021.2.3,Win32,60.0132029,,,,,,,
0.85,right,0,0.4472,0,14,14,16,1,stim/upper.png,stim/incongLeft.png,left,0,1,001,2022-02-26_13h05.56.398,ANT,2021.2.3,Win32,60.0132029,,,,,,,
0.95,left,1,0.4114,0,15,15,13,1,stim/both.png,stim/congRight.png,left,180,1,001,2022-02-26_13h05.56.398,ANT,2021.2.3,Win32,60.0132029,,,,,,,
1,left,1,0.4198,0,16,16,1,1,stim/both.png,stim/congLeft.png,left,0,1,001,2022-02-26_13h05.56.398,ANT,2021.2.3,Win32,60.0132029,,,,,,,
0.7,right,1,0.5012,0,17,17,8,1,stim/upper.png,stim/congRight.png,right,0,1,001,2022-02-26_13h05.56.398,ANT,2021.2.3,Win32,60.0132029,,,,,,,
0.9,left,1,0.4666,0,18,18,14,1,stim/centre.png,stim/congRight.png,left,180,1,001,2022-02-26_13h05.56.398,ANT,2021.2.3,Win32,60.0132029,,,,,,,
1.1,right,1,0.5375,0,19,19,23,1,stim/blank.png,stim/incongLeft.png,right,180,1,001,2022-02-26_13h05.56.398,ANT,2021.2.3,Win32,60.0132029,,,,,,,
1.4,right,1,0.3802,0,20,20,9,1,stim/both.png,stim/congRight.png,right,0,1,001,2022-02-26_13h05.56.398,ANT,2021.2.3,Win32,60.0132029,,,,,,,
0.6,right,1,0.4346,0,21,21,10,1,stim/centre.png,stim/congRight.png,right,0,1,001,2022-02-26_13h05.56.398,ANT,2021.2.3,Win32,60.0132029,,,,,,,
0.9,left,0,0.4594,0,22,22,21,1,stim/both.png,stim/incongLeft.png,right,180,1,001,2022-02-26_13h05.56.398,ANT,2021.2.3,Win32,60.0132029,,,,,,,
1.2,left,1,0.5888,0,23,23,19,1,stim/blank.png,stim/incongLeft.png,left,0,1,001,2022-02-26_13h05.56.398,ANT,2021.2.3,Win32,60.0132029,,,,,,,
