fixDuration,resp.keys,resp.corr,resp.rt,pracLoop.thisRepN,pracLoop.thisTrialN,pracLoop.thisN,pracLoop.thisIndex,pracLoop.ran,cue,tar,corrAns,targOrientation,participant,session,date,expName,psychopyVersion,OS,frameRate,instResp.keys,instResp.rt,mainLoop.thisRepN,mainLoop.thisTrialN,mainLoop.thisN,mainLoop.thisIndex,mainLoop.ran
0.75,right,1,1.474,0,0,0,4,1,stim/lower.png,stim/congLeft.png,right,180,,001,2022-04-26_17h13.45.316,ANT,2021.2.3,Win32,60.0240096,,,,,,,
1.5,right,1,0.879,0,1,1,9,1,stim/both.png,stim/congRight.png,right,0,,001,2022-04-26_17h13.45.316,ANT,2021.2.3,Win32,60.0240096,,,,,,,
1.1,right,1,1.183,0,2,2,23,1,stim/blank.png,stim/incongLeft.png,right,180,,001,2022-04-26_17h13.45.316,ANT,2021.2.3,Win32,60.0240096,,,,,,,
0.4,left,1,0.833,0,3,3,15,1,stim/blank.png,stim/congRight.png,left,180,,001,2022-04-26_17h13.45.316,ANT,2021.2.3,Win32,60.0240096,,,,,,,
0.55,left,1,1.617,0,4,4,17,1,stim/both.png,stim/incongLeft.png,left,0,,001,2022-04-26_17h13.45.316,ANT,2021.2.3,Win32,60.0240096,,,,,,,
1.55,right,1,0.791,0,5,5,7,1,stim/blank.png,stim/congLeft.png,right,180,,001,2022-04-26_17h13.45.316,ANT,2021.2.3,Win32,60.0240096,,,,,,,
0.65,left,1,0.667,0,6,6,0,1,stim/upper.png,stim/congLeft.png,left,0,,001,2022-04-26_17h13.45.316,ANT,2021.2.3,Win32,60.0240096,,,,,,,
0.55,right,1,0.619,0,7,7,6,1,stim/centre.png,stim/congLeft.png,right,180,,001,2022-04-26_17h13.45.316,ANT,2021.2.3,Win32,60.0240096,,,,,,,
1.3,right,1,0.659,0,8,8,5,1,stim/both.png,stim/congLeft.png,right,180,,001,2022-04-26_17h13.45.316,ANT,2021.2.3,Win32,60.0240096,,,,,,,
0.7,right,1,0.89,0,9,9,21,1,stim/both.png,stim/incongLeft.png,right,180,,001,2022-04-26_17h13.45.316,ANT,2021.2.3,Win32,60.0240096,,,,,,,
1.5,right,1,0.817,0,10,10,22,1,stim/centre.png,stim/incongLeft.png,right,180,,001,2022-04-26_17h13.45.316,ANT,2021.2.3,Win32,60.0240096,,,,,,,
0.85,left,1,0.601,0,11,11,2,1,stim/centre.png,stim/congLeft.png,left,0,,001,2022-04-26_17h13.45.316,ANT,2021.2.3,Win32,60.0240096,,,,,,,
0.95,left,1,0.575,0,12,12,14,1,stim/centre.png,stim/congRight.png,left,180,,001,2022-04-26_17h13.45.316,ANT,2021.2.3,Win32,60.0240096,,,,,,,
0.5,right,1,0.552,0,13,13,10,1,stim/centre.png,stim/congRight.png,right,0,,001,2022-04-26_17h13.45.316,ANT,2021.2.3,Win32,60.0240096,,,,,,,
1.5,left,1,0.524,0,14,14,12,1,stim/lower.png,stim/congRight.png,left,180,,001,2022-04-26_17h13.45.316,ANT,2021.2.3,Win32,60.0240096,,,,,,,
1.4,left,1,0.768,0,15,15,19,1,stim/blank.png,stim/incongLeft.png,left,0,,001,2022-04-26_17h13.45.316,ANT,2021.2.3,Win32,60.0240096,,,,,,,
