fixDuration,resp.keys,resp.corr,resp.rt,pracLoop.thisRepN,pracLoop.thisTrialN,pracLoop.thisN,pracLoop.thisIndex,pracLoop.ran,cue,tar,corrAns,targOrientation,participant,session,date,expName,psychopyVersion,OS,frameRate,instResp.keys,instResp.rt,mainLoop.thisRepN,mainLoop.thisTrialN,mainLoop.thisN,mainLoop.thisIndex,mainLoop.ran
1,right,1,1.1669,0,0,0,11,1,stim/blank.png,stim/congRight.png,right,0,,001,2022-04-28_15h54.03.691,ANT,2021.2.3,MacIntel,60.0024001,,,,,,,
0.8,right,1,1.0732,0,1,1,4,1,stim/lower.png,stim/congLeft.png,right,180,,001,2022-04-28_15h54.03.691,ANT,2021.2.3,MacIntel,60.0024001,,,,,,,
1.55,left,1,0.8839,0,2,2,3,1,stim/blank.png,stim/congLeft.png,left,0,,001,2022-04-28_15h54.03.691,ANT,2021.2.3,MacIntel,60.0024001,,,,,,,
1,left,1,0.7253,0,3,3,15,1,stim/blank.png,stim/congRight.png,left,180,,001,2022-04-28_15h54.03.691,ANT,2021.2.3,MacIntel,60.0024001,,,,,,,
0.65,right,1,0.8546,0,4,4,22,1,stim/centre.png,stim/incongLeft.png,right,180,,001,2022-04-28_15h54.03.691,ANT,2021.2.3,MacIntel,60.0024001,,,,,,,
1.45,left,1,0.5836,0,5,5,2,1,stim/centre.png,stim/congLeft.png,left,0,,001,2022-04-28_15h54.03.691,ANT,2021.2.3,MacIntel,60.0024001,,,,,,,
0.55,right,1,0.4684,0,6,6,8,1,stim/upper.png,stim/congRight.png,right,0,,001,2022-04-28_15h54.03.691,ANT,2021.2.3,MacIntel,60.0024001,,,,,,,
0.85,left,1,0.5001,0,7,7,1,1,stim/both.png,stim/congLeft.png,left,0,,001,2022-04-28_15h54.03.691,ANT,2021.2.3,MacIntel,60.0024001,,,,,,,
1.05,right,1,0.485,0,8,8,10,1,stim/centre.png,stim/congRight.png,right,0,,001,2022-04-28_15h54.03.691,ANT,2021.2.3,MacIntel,60.0024001,,,,,,,
1.1,right,1,0.7587,0,9,9,23,1,stim/blank.png,stim/incongLeft.png,right,180,,001,2022-04-28_15h54.03.691,ANT,2021.2.3,MacIntel,60.0024001,,,,,,,
