fixDuration,resp.keys,resp.corr,resp.rt,pracLoop.thisRepN,pracLoop.thisTrialN,pracLoop.thisN,pracLoop.thisIndex,pracLoop.ran,cue,tar,corrAns,targOrientation,participant,session,date,expName,psychopyVersion,OS,frameRate,instResp.keys,instResp.rt,mainLoop.thisRepN,mainLoop.thisTrialN,mainLoop.thisN,mainLoop.thisIndex,mainLoop.ran
0.45,right,1,0.573,,,,,,stim/upper.png,stim/incongRight.png,right,0,Marta,001,2022-05-06_13h17.34.027,ANT,2021.2.3,Win32,60.10337781,,,0,8,8,24,1
0.95,right,1,0.5007,,,,,,stim/centre.png,stim/neutralRight.png,right,0,Marta,001,2022-05-06_13h17.34.027,ANT,2021.2.3,Win32,60.10337781,,,0,9,9,42,1
0.85,left,1,0.6671,,,,,,stim/blank.png,stim/congLeft.png,left,0,Marta,001,2022-05-06_13h17.34.027,ANT,2021.2.3,Win32,60.10337781,,,0,10,10,3,1
0.6,left,1,0.5445,,,,,,stim/lower.png,stim/congRight.png,left,180,Marta,001,2022-05-06_13h17.34.027,ANT,2021.2.3,Win32,60.10337781,,,0,11,11,12,1
1.3,right,1,0.8787,,,,,,stim/blank.png,stim/incongRight.png,right,0,Marta,001,2022-05-06_13h17.34.027,ANT,2021.2.3,Win32,60.10337781,,,0,12,12,27,1
0.95,right,0,0.6351,,,,,,stim/lower.png,stim/incongRight.png,left,180,Marta,001,2022-05-06_13h17.34.027,ANT,2021.2.3,Win32,60.10337781,,,0,13,13,28,1
0.7,left,0,0.887,,,,,,stim/lower.png,stim/neutralLeft.png,right,180,Marta,001,2022-05-06_13h17.34.027,ANT,2021.2.3,Win32,60.10337781,,,0,14,14,36,1
0.85,left,1,0.6383,,,,,,stim/blank.png,stim/neutralLeft.png,left,0,Marta,001,2022-05-06_13h17.34.027,ANT,2021.2.3,Win32,60.10337781,,,0,15,15,35,1
1.35,right,1,0.9924,,,,,,stim/centre.png,stim/neutralLeft.png,right,180,Marta,001,2022-05-06_13h17.34.027,ANT,2021.2.3,Win32,60.10337781,,,0,16,16,38,1
0.65,right,1,0.5436,,,,,,stim/both.png,stim/neutralLeft.png,right,180,Marta,001,2022-05-06_13h17.34.027,ANT,2021.2.3,Win32,60.10337781,,,0,17,17,37,1
1.2,right,0,0.0238,,,,,,stim/centre.png,stim/neutralRight.png,left,180,Marta,001,2022-05-06_13h17.34.027,ANT,2021.2.3,Win32,60.10337781,,,0,18,18,46,1
1.5,left,1,0.678,,,,,,stim/centre.png,stim/congLeft.png,left,0,Marta,001,2022-05-06_13h17.34.027,ANT,2021.2.3,Win32,60.10337781,,,0,19,19,2,1
1.05,right,0,0.6879,,,,,,stim/blank.png,stim/incongRight.png,left,180,Marta,001,2022-05-06_13h17.34.027,ANT,2021.2.3,Win32,60.10337781,,,0,20,20,31,1
0.8,right,1,0.5203,,,,,,stim/both.png,stim/congRight.png,right,0,Marta,001,2022-05-06_13h17.34.027,ANT,2021.2.3,Win32,60.10337781,,,0,21,21,9,1
0.8,right,1,0.5612,,,,,,stim/lower.png,stim/congLeft.png,right,180,Marta,001,2022-05-06_13h17.34.027,ANT,2021.2.3,Win32,60.10337781,,,0,22,22,4,1
0.8,left,1,0.7648,,,,,,stim/centre.png,stim/incongLeft.png,left,0,Marta,001,2022-05-06_13h17.34.027,ANT,2021.2.3,Win32,60.10337781,,,0,23,23,18,1
0.95,right,1,0.8089,,,,,,stim/both.png,stim/incongLeft.png,right,180,Marta,001,2022-05-06_13h17.34.027,ANT,2021.2.3,Win32,60.10337781,,,0,24,24,21,1
1.1,left,1,0.6617,,,,,,stim/centre.png,stim/congRight.png,left,180,Marta,001,2022-05-06_13h17.34.027,ANT,2021.2.3,Win32,60.10337781,,,0,25,25,14,1
1.1,left,1,0.6726,,,,,,stim/blank.png,stim/neutralRight.png,left,180,Marta,001,2022-05-06_13h17.34.027,ANT,2021.2.3,Win32,60.10337781,,,0,26,26,47,1
1.1,left,1,0.6091,,,,,,stim/both.png,stim/congRight.png,left,180,Marta,001,2022-05-06_13h17.34.027,ANT,2021.2.3,Win32,60.10337781,,,0,27,27,13,1
1.55,left,1,0.7133,,,,,,stim/centre.png,stim/incongRight.png,left,180,Marta,001,2022-05-06_13h17.34.027,ANT,2021.2.3,Win32,60.10337781,,,0,28,28,30,1
1,right,1,0.5855,,,,,,stim/upper.png,stim/neutralRight.png,right,0,Marta,001,2022-05-06_13h17.34.027,ANT,2021.2.3,Win32,60.10337781,,,0,29,29,40,1
0.45,,0,,,,,,,stim/blank.png,stim/congRight.png,right,0,Marta,001,2022-05-06_13h17.34.027,ANT,2021.2.3,Win32,60.10337781,,,0,30,30,11,1
