fixDuration,resp.keys,resp.corr,resp.rt,pracLoop.thisRepN,pracLoop.thisTrialN,pracLoop.thisN,pracLoop.thisIndex,pracLoop.ran,cue,tar,corrAns,targOrientation,participant,session,date,expName,psychopyVersion,OS,frameRate,instResp.keys,instResp.rt,mainLoop.thisRepN,mainLoop.thisTrialN,mainLoop.thisN,mainLoop.thisIndex,mainLoop.ran
0.6,left,1,1.12,0,0,0,17,1,stim/both.png,stim/incongLeft.png,left,0,asdfa,001,2022-03-29_13h18.17.086,ANT,2021.2.3,MacIntel,58.82352941,,,,,,,
1.1,right,1,0.846,0,1,1,21,1,stim/both.png,stim/incongLeft.png,right,180,asdfa,001,2022-03-29_13h18.17.086,ANT,2021.2.3,MacIntel,58.82352941,,,,,,,
1.15,right,1,0.764,0,2,2,9,1,stim/both.png,stim/congRight.png,right,0,asdfa,001,2022-03-29_13h18.17.086,ANT,2021.2.3,MacIntel,58.82352941,,,,,,,
1.35,right,1,0.582,0,3,3,8,1,stim/upper.png,stim/congRight.png,right,0,asdfa,001,2022-03-29_13h18.17.086,ANT,2021.2.3,MacIntel,58.82352941,,,,,,,
1.5,right,1,0.607,0,4,4,6,1,stim/centre.png,stim/congLeft.png,right,180,asdfa,001,2022-03-29_13h18.17.086,ANT,2021.2.3,MacIntel,58.82352941,,,,,,,
0.8,left,1,0.671,0,5,5,13,1,stim/both.png,stim/congRight.png,left,180,asdfa,001,2022-03-29_13h18.17.086,ANT,2021.2.3,MacIntel,58.82352941,,,,,,,
1.05,right,1,0.55,0,6,6,4,1,stim/lower.png,stim/congLeft.png,right,180,asdfa,001,2022-03-29_13h18.17.086,ANT,2021.2.3,MacIntel,58.82352941,,,,,,,
1.4,right,1,0.648,0,7,7,22,1,stim/centre.png,stim/incongLeft.png,right,180,asdfa,001,2022-03-29_13h18.17.086,ANT,2021.2.3,MacIntel,58.82352941,,,,,,,
0.65,left,1,0.721,0,8,8,2,1,stim/centre.png,stim/congLeft.png,left,0,asdfa,001,2022-03-29_13h18.17.086,ANT,2021.2.3,MacIntel,58.82352941,,,,,,,
1.05,right,1,0.459,0,9,9,5,1,stim/both.png,stim/congLeft.png,right,180,asdfa,001,2022-03-29_13h18.17.086,ANT,2021.2.3,MacIntel,58.82352941,,,,,,,
0.5,left,1,0.525,0,10,10,1,1,stim/both.png,stim/congLeft.png,left,0,asdfa,001,2022-03-29_13h18.17.086,ANT,2021.2.3,MacIntel,58.82352941,,,,,,,
1.2,left,1,0.726,0,11,11,19,1,stim/blank.png,stim/incongLeft.png,left,0,asdfa,001,2022-03-29_13h18.17.086,ANT,2021.2.3,MacIntel,58.82352941,,,,,,,
1.05,left,1,0.58,0,12,12,14,1,stim/centre.png,stim/congRight.png,left,180,asdfa,001,2022-03-29_13h18.17.086,ANT,2021.2.3,MacIntel,58.82352941,,,,,,,
1.35,right,1,0.609,0,13,13,20,1,stim/lower.png,stim/incongLeft.png,right,180,asdfa,001,2022-03-29_13h18.17.086,ANT,2021.2.3,MacIntel,58.82352941,,,,,,,
1.55,left,1,0.555,0,14,14,0,1,stim/upper.png,stim/congLeft.png,left,0,asdfa,001,2022-03-29_13h18.17.086,ANT,2021.2.3,MacIntel,58.82352941,,,,,,,
1.4,right,1,0.489,0,15,15,10,1,stim/centre.png,stim/congRight.png,right,0,asdfa,001,2022-03-29_13h18.17.086,ANT,2021.2.3,MacIntel,58.82352941,,,,,,,
1.5,left,1,0.513,0,16,16,15,1,stim/blank.png,stim/congRight.png,left,180,asdfa,001,2022-03-29_13h18.17.086,ANT,2021.2.3,MacIntel,58.82352941,,,,,,,
1.35,right,1,0.431,0,17,17,7,1,stim/blank.png,stim/congLeft.png,right,180,asdfa,001,2022-03-29_13h18.17.086,ANT,2021.2.3,MacIntel,58.82352941,,,,,,,
